score	sentence_1	sentence_2
0	The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.	The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.
1	Appellate courts across the country have issued differing rulings on the issue, allowing public displays of the Ten Commandments in some cases and banning them in others.	Lower courts have splintered on the issue, allowing depictions of the Ten Commandments in some instances and not in others.
1	It held elections in 1990, but refused to recognize the results after Suu Kyi's party won.	It held elections in 1990, but refused to recognise the results when Miss Suu Kyi's National League for Democracy won by a landslide.
0	One of the latest shootings was at a car on Sunday on I-270, Franklin County sheriff's Chief Deputy Steve Martin said.	A car and a house were hit in the new shootings, the chief deputy sheriff of Franklin County, Steve Martin, said.
1	A nationally known computer hacker is being sought on a federal arrest warrant stemming from a sealed complaint in New York, a federal defender in California said Friday.	SACRAMENTO A nationally known itinerant computer hacker faces a federal arrest warrant on a sealed federal complaint in New York, a federal defender in California said Friday.
1	The disagreement over online music sales was disclosed in documents filed last week with the judge and made available by the court yesterday.	The fight over online music sales was disclosed in documents made available Monday by the court.
1	Scruggs, who did not testify, was cleared of a second charge of failing to provide her son with proper medical and psychological care.	The six-member jury cleared Scruggs of a second charge that accused her of failing to provide her son with proper medical and psychological care.
0	I´m very proud of the citizens of this state, Gov. John Baldacci said.	Im very proud of the citizens of this state, said Gov. John Baldacci, a casino foe.
1	Events on our system, in and of themselves, could not account for the widespread nature of the outage, FirstEnergy Chief Executive Peter Burg told the House panel.	Events on our system, in and of themselves, could not account for the widespread nature of the outage, Burg said.
1	Minister Saud al-Faisal visit was disclosed Monday by two administration officials who discussed it on condition of not being identified by name.	Minister Saud al-Faisal's visit was disclosed by two administration officials, who spoke on condition of anonymity.
1	But price declines have remained below 30 percent, year over year, for the last two quarters, said IDC analyst John McArthur.	McArthur told internetnews.com price declines have moderated and remained below 30 percent from the previous year for the last two quarters.
1	Memories also live on of the bloody debacle in Somalia 10 years ago -- the last major US military involvement in Africa.	Memories also live on of a bloody debacle in Somalia a decade ago -- the last major U.S. military involvement in Africa.
1	Palm expects to move Handspring's employees to Palm Solutions headquarters in Milpitas, Calif.	Handspring employees are expected to move to Palm Solutions Group headquarters in Milpitas, Calif.
1	He said they should not really be patrolling or be around those areas when they ... are conducting their prayers.	He said they should not really be patrolling or be around those areas when they are in their time of when they're conducting their prayers.
1	Two of his cousins members of the Jordanian royal family have been mentioned as possible contenders to the throne.	In addition, two of his cousins - members of the Jordanian royal family - have been mentioned as possible competition for the throne.
1	In Las Vegas, agents entered two clubs — Cheetah's and Jaguars — along with Galardi Enterprises, an office atop a bar and pool hall in downtown Las Vegas.	In Las Vegas, federal agents stormed two clubs - Cheetah's and Jaguars - along with Galardi Enterprises, an office atop a bar in downtown.
1	The IRS said taxpayers can avoid undelivered checks by having refunds deposited directly into their checking or savings accounts.	The IRS said taxpayers can avoid problems with lost or stolen refunds by having refunds deposited directly into personal checking or savings accounts.
0	The redesigned Finder also features search, coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac, Windows and UNIX file servers.	It also supports coloured labels to better organise documents, and dynamic browsing of the network for Mac, Windows and Unix file servers.
0	Mallard's friend, Clete Jackson, and his cousin, Herbert Tyrone Cleveland, pleaded guilty last year to dumping Biggs' body.	That night Jackson and his cousin, Herbert Tyrone Cleveland, went with Mallard to her house.
0	The Thomson First Call consensus was for earnings of 19 cents a share.	Analysts surveyed by Thomson First Call had expected earnings of 19 cents per share in the third quarter.
1	The two other passengers were taken to John Peter Smith and Harris Methodist Fort Worth hospitals with critical injuries.	Two additional passengers were taken to John Peter Smith and Harris Methodist hospitals, both with what was described as critical injuries.
1	In turn SuSE will license Java 2 Standard Edition while also formalising an existing agreement to distribute Sun's Java Virtual Machine for running Java applications.	Nuremberg, Germany-based SuSE will license Sun's Java 2 Standard Edition (J2SE) and ship Sun's Java Virtual Machine across its Linux software line.
1	The agreement resolves a lawsuit AOL filed against Microsoft in January 2002 on behalf of its subsidiary, Netscape Communications.	The legal settlement resolves the private anti-trust lawsuit filed against Microsoft in January 2002 by AOL Time Warner's America Online unit on behalf of its Netscape subsidiary.
1	There's also a flaw that results because IE does not implement an appropriate block on a file download dialog box.	The second vulnerability is a result of IE not implementing a block on a file download dialog box.
1	The dollar gained against the euro, yen and Swiss franc after September U.S. retail sales figures came in slightly weaker than consensus forecasts.	The greenback rose steeply against the euro, yen and Swiss franc despite weaker-than-expected September U.S. retail sales figures.
0	Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians who could vote on electronic touch-screen machines.	Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians voting electronically - 9.3 percent of the state's 15.3 million registered voters.
1	In January 1996, two of his nude models were arrested atop of a Manhattan snowdrift, posed beneath an ice-cream parlor sign that advertised Frozen Fantasies.	On Jan. 12, 1996, two of his nude models were arrested atop of a Manhattan snowdrift, posed beneath an ice-cream parlor sign that advertised Frozen Fantasies.
1	A big surge in consumer confidence has provided the only positive economic news in recent weeks.	Only a big surge in consumer confidence has interrupted the bleak economic news.
1	On the Mediterranean coast of neighboring Turkey, Iraqi, U.S. and Turkish officials gathered in the port of Ceyhan for a ceremony launching the shipment.	In neighboring Turkey, Iraqi, U.S. and Turkish officials gathered at the Mediterranean port of Ceyhan for a ceremony launching the shipment.
0	Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote, while the independent Dragan Hajdukovic got 4 percent.	A pro-independence radical, Miodrag Zivkovic, of the Liberal Alliance, came in second with 31 percent of the vote.
0	The chain operates more than 3,400 stores, and has annual revenue of about $15.8 billion.	The chain, which has been under new management since late 1999, has more than 3,400 stores and $15.8 billion in annual revenue.
1	Like-for-like sales for the 17 weeks to 27 December were flat, while the gross margin fell by 2 percentage points, the company said.	UK retail like-for-like sales for the 17 weeks to December 27 were flat, with gross margin down two percentage points.
1	The FBI is trying to determine when White House officials and members of the vice president's staff first focused on Wilson and learned about his wife's employment at the CIA.	The FBI is trying to determine when White House officials and members of the vice president’s staff first focused on Wilson and learned about his wife’s employment at the agency.
0	Harry Potter and the Order of the Phoenix, by J.K. Rowling, Scholastic, 870 pages, $29.99.	In ''The Order of the Phoenix,'' Harry is 15, and fully a teenager at last.
0	Daniel said it takes about two hours and 15 minutes to drive from his home to Nashville.	Daniel said D'Antonio left between 7:15 p.m. and 8 p.m and it takes about two hours to drive from his home to Nashville.
1	The two blond opponents appeared almost identical in matching powder-blue outfits – to their dismay.	The two blond opponents appeared almost identical because they wore matching powder-blue outfits - to their dismay.
1	Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.	The U.S. House of Representatives, the other chamber of Congress, does not vote on treaties.
0	Washington, however, said more was needed to prevent complaints being filed in the first place.	But the US insisted it wanted more done to prevent complaints being filed in the first place, preferably by repealing the entire law.
1	The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future, the Fed said in a statement accompanying the unanimous decision.	The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future, the policy-setting Federal Open Market Committee said.
0	The broader Standard & Poor's 500 Index <.SPX> gained 3 points, or 0.39 percent, at 924.	The technology-laced Nasdaq Composite Index .IXIC rose 6 points, or 0.41 percent, to 1,498.
1	Hunt's attorneys filed a motion late Monday in Forsyth Superior Court to have Hunt's murder conviction thrown out.	Hunt's attorneys filed a motion Monday seeking to have Hunt's conviction thrown out based on the new evidence.
1	Progress Software plans to acquire privately held DataDirect Technologies for about $88 million in cash, the companies said Friday.	Progress Software Corp. is acquiring DataDirect Technologies Ltd., a privately held supplier of data-access software, for approximately $88 million, the companies said Friday.
1	That risk, described as minor, remains the predominant concern for the foreseeable future, the statement released after the Fed meeting said.	The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future, the policy-setting Federal Open Market Committee said.
1	Senate Majority Leader Bill Frist, a Tennessee Republican, said he intended to work to get the loan provision removed from the final bill.	Senate Majority Leader Bill Frist, a Tennessee Republican, said he intended to work to see that the loan provision was not in the final bill.
0	There are an estimated 25,000 to 28,000 tribal fighters in the region, with thousands deployed in and around the town.	Bunia has about 750 U.N. troops, compared with an estimated 25,000 to 28,000 tribal fighters in the region, with thousands deployed in and around Bunia.
1	The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.	Analysts polled by Reuters Research, a unit of Reuters Group Plc, on average forecast profit of $1.69 per share.
1	E Ink is one of several groups trying to develop electronic paper for e-newspapers and e-books, and other uses - even clothing with computer screens sewn into it.	E Ink is one of several companies working to develop electronic paper for e-newspapers and e-books, and other possible applications _ even clothing with computer screens sewn into it.
1	We have some small opportunities in November and maybe January, Mr. Parsons said optimistically.	I think we have some opportunities -- some small opportunities -- in November and possibly January, he said.
1	Lee said Brianna had dragged food, toys and other things into the bedroom.	Lee, 33, said the girl had dragged the food, toys and other things into her mother's bedroom.
1	The company had an operating loss of $56.7 million in the first half of 2003.	In the first half of this year, the company lost $56.7 million.
1	I think the financial diplomacy here of the sort that we are engaged in is the surest course to get the result we want.	The financial diplomacy we're engaged in is the surest course to get what we want, Mr. Snow said.
0	The dollar was last at $1.1149 to the euro, close to its strongest level since April 30.	The dollar pushed as high as $1.1115 to the euro in early trade, extending Tuesday's one percent rally to hit its strongest level since April 30.
0	Civilian reservists also could be sent overseas for jobs such as the reconstruction of Afghanistan and Iraq.	Civilian reservists also could be sent overseas for jobs such as reconstruction in Afghanistan and Iraq, working in positions from translator to truck driver.
1	Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush.	Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites).
0	A judge stayed an injunction against RIM that would have prevented it from selling the Blackberry device and services in the United States.	NTP also said it would seek an injunction preventing RIM from selling the BlackBerry in the United States.
1	Senate Armed Services Committee Chairman Sen. John Warner, R-Va., is also considering a look into the issue.	Senate Armed Services Committee Chairman John Warner, R-Va., said he plans hearings.
1	Meanwhile, rival contender, General Electric's NBC, submitted a letter of interest, a source familiar with the matter said.	Other contenders included General Electric's GE.N NBC, which submitted a letter of interest, a source familiar with the matter said.
1	The broader Standard & Poor's 500 Index .SPX gained 3 points, or 0.39 percent, at 924.	The technology-laced Nasdaq Composite Index <.IXIC> rose 6 points, or 0.41 percent, to 1,498.
1	Telemarketers argue that there is no logical link between the registry's limited scope and advancing that interest.	Lawyers for the telemarketers said there was no logical connection between the registry's limited scope and advancing that interest.
1	Germany, another opponent of the war currently on the U.N. Security Council, has moved closer to the United States, and did not insist on a timetable Monday.	Germany, another opponent of the war currently on the U.N. Security Council, in recent weeks has moved closer to Washington and did not insist on a timetable.
1	Authorities said the bodies of a man and woman were recovered on Friday from a camping ground in nearby Devore, where a wall of mud destroyed 32 caravans.	Two other bodies were recovered on Friday from a campground in nearby Devore, where a wall of mud destroyed 32 trailers.
1	The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company.	The legal ruling follows three days of wild volatility in RIM's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company.
1	Freddie Mac shares were down more than 16 per cent at $50.18 at midday yesterday.	Freddie Mac shares were off $7.87, or 13.2 percent, at $52 in midday trading on the New York Stock Exchange.
0	Three Federal Reserve speakers and the Fed's anecdotal summary of U.S. economic conditions could help firm expectations.	At 1800 GMT, the Federal Reserve issues its Beige Book summary of U.S. economic conditions.
1	Meat giant Smithfield Foods Inc. has won a bidding war to buy a bankrupt Midwestern pork producer.	Pork processing giant Smithfield Foods Inc. said Monday that it won the bidding in an auction for bankrupt Farmland Industries Inc.'s pork business.
1	They fear the treatment would leave 12-year-old Parker Jensen sterile and stunt his growth.	The Jensens have said they fear the treatment would stunt Parker's growth and leave him sterile.
1	Gov. Don Carcieri said the ruling shows that state taxation laws apply on the tribe's sales activities.	Gov. Don Carcieri said the ruling shows that state taxation laws apply to any tribal activity.
1	Emmy and Golden Globe Award-winners James Brolin and Judy Davis star as Ronald and Nancy Reagan in The Reagans.	James Brolin and Judy Davis play Ronald and Nancy Reagan in the CBS film.
0	The technology-laced Nasdaq Composite Index <.IXIC> declined 16.68 points, or 1.01 percent, at 1,636.94.	The broader Standard & Poor's 500 Index .SPX eased 7.57 points, or 0.76 percent, at 990.94.
0	Of 456 women who had experienced stress, 24 (5.3%) had developed breast cancer.	Of the unstressed women, 23 developed breast cancer and 871 did not.
0	The driver, Eugene Rogers, helped to remove children from the bus, Wood said.	At the accident scene, the driver was covered in blood but helped to remove children, Wood said.
0	A BMI of 25 or above is considered overweight; 30 or above is considered obese.	A BMI between 18.5 and 24.9 is considered normal, over 25 is considered overweight and 30 or greater is defined as obese.
1	They did not read footnotes in a 90-page document, said the official, referring to the section that contained the State Department's dissent.	They did not read footnotes in a 90-page document, he said, referring to the annex.
0	Think Dynamics, which is based in Toronto, will become part of IBM's Software Group.	The 36 employees at Think Dynamics will remain in Toronto and become IBM employees, Crowe said.
1	Many compensation experts had predicted Carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place.	Many compensation experts had predicted that Carty would get a generous severance package because his voluntary resignation helped preserve the concessions, the Fort Worth Star-Telegram reported.
1	New cases of SARS might continue to appear, the authors write ominously, until the stratospheric supply of the causative agent becomes exhausted.	New cases might continue to appear until the stratospheric supply of the causative agent becomes exhausted, they said.
1	The American Film Institute recently named her the top female screen legend.	In 1999 the American Film Institute named Hepburn as the 20th century's greatest screen actress.
0	Wall Street analysts expect 2004 revenue of $28.15 billion.	Analysts' average forecast was $4.02 per share on revenue of $25.56 billion.
1	The suit is to be filed against Secretary of State Kevin Shelley and election officials in Los Angeles, Orange and San Diego counties.	The lawsuit names Shelley, a Democrat, and registrars in Los Angeles, Orange and San Diego counties.
1	US troops encountered fire from rocket-propelled grenades, mortars, and small arms coming from bunkers and buildings.	The U.S. troops encountered fire from rocket propelled grenades, mortars and small arms originating from bunkers as well as within and atop surrounding buildings.
1	The layoffs at Eddie Bauer headquarters were dispersed across the company and at all levels, spokeswoman Lisa Erickson said.	The eliminations at Eddie Bauer come at all divisions and levels of the company, said Eddie Bauer spokeswoman Lisa Erickson.
1	Three retailers Dillards Inc., Kohls Department Stores and Nordstrom Inc. got Fs.	Three retailers _ Dillard's Inc., Kohl's Department Stores and Nordstrom Inc. _ got Fs.
1	The Republic of Korea was found to lead the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants.	Not surprisingly, broadband nation Korea leads the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants.
1	But Close wondered whether the package would be worth the cost of licensing the third-party software, along with Salesforce.com's rental price.	Close also questions whether it would be worth the cost of licensing third-party software, along with Salesforce.com's rental price.
1	Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.	Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.
0	Utah's median household income also took a hit, falling 1.8 percent, from $48,875 to $47,978.	Georgia's median household income dropped about 0.9 percent to $43,096 -- a $408 dip.
0	We haven't decided whether to use an unbroken or dotted white line, but this is an experiment worth introducing, said David Richardson, the ICC's cricket manager.	We haven't decided whether to use an unbroken or dotted white line, said Dave Richardson, the ICC's cricket manager.
1	The message is: If an individual is thinking of getting a flu shot, they shouldn't wait.	The message to the public is: If you are thinking of getting a flu shot, don't wait any longer, he said. 
0	Glover said the killer used a peculiar slipknot on the ligature he used to strangle some of the victims.	Glover said the killer used a ``peculiar slipknot,'' including a coaxial cable and an extension cord, to strangle some of the victims.
1	But Amrozi did not reveal and was not asked the company's or his boss's name.	Amrozi did not reveal, and was not asked, the identity of his boss.
0	Associated Press Writers Michelle Morgante in San Diego and Ken Ritter in Las Vegas contributed to this article.	Associated Press Writer Ken Ritter in Las Vegas contributed to this article.
1	Kahuku Ranch has world - class qualities - tremendous resources, tremendous beauty and tremendous value to global biodiversity.	Kahuku Ranch has world-class qualities—tremendous resources, tremendous beauty and tremendous value to global biodiversity, he said.
0	Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.	Spokesman James Howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries, while three others were treated at the scene.
1	Justice John Paul Stevens compared the interrogation of Martinez to an attempt to obtain an involuntary confession from a prisoner by torturous methods.	Writing for the minority, Justice John Paul Stevens said the interrogation was akin to an attempt to obtain an involuntary confession from a prisoner by torturous methods.
0	The patch also fixes a vulnerability that results because IE does not implement an appropriate block on a file download dialog box.	The second vulnerability is a result of IE not implementing a block on a file download dialog box.
0	Swedish telecom equipment maker Ericsson (nasdaq: QCOM - news - people) scrambled up $2.19, or almost 12 percent, to $20.59.	Telecom equipment maker Lucent Technologies Inc. (nyse: QCOM - news - people) rallied 43 cents, or 12.3 percent, to $3.95.
1	In 2001, President Bush named Kathleen Gregg one of six appointees to the Student Loan Marketing Association, the largest US lender for students.	In 2001, President Bush named her to the Student Loan Marketing Association, the largest U.S. lender for students.
1	Microsoft is preparing to alter its Internet Explorer browser, following a patent verdict that went against the company, Microsoft said Friday.	Microsoft Corp. is preparing changes to its Internet Explorer (IE) browser because of a patent verdict against it, the company said Friday.
1	Wal-Mart, the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.	Wal-Mart Stores Inc., the nation's largest private employer, will now include gays and lesbians in its anti-discrimination policy, company officials said Wednesday.
0	The United States has accused Iran of masking plans to make nuclear weapons behind a civilian nuclear programme.	The United States has repeatedly accused Iran of trying to develop nuclear weapons.
1	Bush also said he plans to meet with scientists and legal experts and will not make a determination on the bill for a few more weeks.	Bush said he plans to meet with scientists and legal experts and will not decide the bill's fate for a few more weeks.
1	The losses occurred overnight in Willow Canyon, one of three areas in the Santa Catalina Mountains threatened by the 2-week-old fire that already had blackened 70,000 acres.	The losses occurred overnight in Willow Canyon, one of three areas in the Santa Catalina Mountains threatened by the resurgent Aspen fire.
1	On Monday, Christian Ganczarski was apprehended at the airport and was to appear before an anti-terrorism judge soon, the officials said.	On Monday, Christian Ganczarski was apprehended at the airport and was to appear before an anti-terrorism judge in the coming days, the officials said on condition of anonymity.
1	If I was diagnosed today with CJD, I would ensure I received this treatment as soon as humanly possible.	He added that if he were diagnosed with vCJD I would ensure I received this treatment as soon as humanly possible.
1	Powers said almost all supercomputer users would rather pay companies like IBM to do all that than try to build their own.	Powers said almost all supercomputer users would rather pay the $100,000 to $10 million for a supercomputer than try to build their own.
1	Bush's aides describe Omaha as the most crucial stop, since Sen. Ben Nelson (D-Neb.) has become their top lobbying target on the tax cut package.	Bush's aides describe Omaha as the most crucial stop, since Senator Ben Nelson, Democrat of Nebraska, has become their top lobbying target on the tax-cut package.
0	It cut taxes while balancing the budget for three years and reduced Europe's second highest per capita national debt.	It cut taxes while still balancing the budget for three years and bringing down Europe's highest national debt as a proportion of gross domestic product after Italy.
0	PowderJect is roughly 20 percent owned by CEO Drayson, a high-profile UK businessman, and his family.	PowderJect, roughly 20 percent owned by Chief Executive Paul Drayson and his family, reported surging annual profit early this month.
1	Speaking for the first time yesterday, Brigitte's maternal aunt said his family was unaware he had was in prison or that he had remarried.	Brigitte's maternal aunt said his family was unaware he had been sent to prison, or that he had remarried in Sydney.
1	While a month's supply of aspirin can cost less than $10, the equivalent amount of ticlopidine can run significantly more than $100.	While a month's supply of aspirin can cost under $10, the equivalent amount of ticlopidine can run well over $100.
1	Overture's listings are generated by more than 100,000 advertisers who bid for placement on keywords relevant to their business.	Overture generates its search listings from more than 100,000 advertisers who bid for placement on keywords relevant to their business.
1	He said Qantas would also cut capital spending by retiring some aircraft and deferring delivery of some new planes.	It would also further reduce capital expenditure by retiring some aircraft and delaying the delivery of new places.
1	Stewart said she intends to declare her innocence and proceed to trial if she is indicted, her lawyer said in a statement.	Stewart intends to declare her innocence if indicted and proceed to trial, her lawyer said.
0	In its quarter ended May 30, Adobe earned $64.25 million, or 27 cents a share.	That was up from the year-ago quarter, when the company earned $54.3 million, or 22 cents a share.
1	The company has expanded into providing other services for buyers, including payment services.	The company has expanded those basic services, offering payment and even financing.
1	One of the FBI’s key operatives, who had a falling out with the bureau, provided an account of the operation at a friend’s closed immigration court proceeding.	One of the FBI's key operatives, who has had a falling-out with the bureau, provided an account of the operation at a friend's closed immigration court proceeding.
1	The reasons behind the increase in incidence are more complex and we are only just beginning to understand the risk factors, he said.	However, he said, The reasons behind the increase in incidence are more complex and were just beginning to understand the risk factors.
1	By its actions, the Bush administration threatens to give a bad name to a just war, the Connecticut Democrat told a Capitol Hill news conference.	By its actions, Lieberman said, the Bush administration threatens to give a bad name to a just war.
0	From that point until costs reached $5,300, the individual would pay 100 percent of the bill.	Above that, Medicare would pay 90 percent of all drug costs.
1	Two Americans killed in a recent ambush in Afghanistan were contract employees of the CIA, the agency said Tuesday.	Two CIA operatives have been killed in an ambush in Afghanistan, the CIA said yesterday.
1	When the butterflies were exposed to constant light, they flew directly towards the sun, presumably because they no longer had any sense of time.	And when butterflies were exposed to constant light, they flew directly toward the sun, apparently having lost their sense of time.
1	Cmdr. Rod Gibbons, an academy spokesman, said, The academy is shocked and saddened.	Naval Academy spokesman Cmdr. Rod Gibbons said: ``Today's announcement came as a surprise.
1	At about 3 p.m. on Friday, a relative of Bondeson called police to report his apparent suicide.	Two hours later, at 3:22 p.m., a relative contacted police to report a suicide.
0	I'm disgusted, physically sick in the stomach, said Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.	The whole thing is a travesty, fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.
1	Available in June, Bare Metal Restore 4.6 costs $900 per Windows client and $1,000 per Unix client for new customers.	Bare Metal Restore 4.6 will be available in mid-June, said Veritas, and will cost $900 per Windows client and $1,000 per Unix client.
0	General Wesley Clark finally confirmed this week that he would seek the Democratic nomination to run against President George Bush in next year's presidential elections.	Retired General Wesley Clark's entry into the race for the Democratic presidential nomination will almost certainly strengthen anti-war forces determined to unseat US President George W Bush next year.
1	Bombardier and Embraer will each deliver 85 jets by September 2006, U.S. Airways said in a release.	The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.
1	The company said it would issue revised guidance for the full fiscal year next month when it releases its Q2 results.	The company said it would renew its guidance for 2003 when it announces its second quarter results in mid-July.
0	At 10 p.m., Odette was centered about 295 miles south-southeast of Kingston, Jamaica, and was moving northeast near 8 mph.	At 10 p.m. Thursday, Odette was about 295 miles south-southeast of Kingston, Jamaica and about 900 miles south-southeast of Palm Beach.
1	All along, we were basing our decisions on the best information that we had at the time, she said.	She insisted that throughout the mission, managers were basing our decisions on the best information that we had at the time.
1	Gasps could be heard in the courtroom when the photo was displayed.	Gasps could be heard as the photo was projected onto the screen.
1	People who are high in positive emotions sleep better, they have better diets, they exercise more, they have lower levels of these stress hormones, Cohen said.	Happy people sleep better, have better diets, exercise more and have less levels of stress hormones, Cohen said.
1	Rescue workers arriving to February's deadly fire at a West Warwick nightclub met a horrific scene, as people trapped in the club's doorway screamed for help.	Rescue workers arriving at February's deadly nightclub fire met a horrific scene, as people trapped in the club's doorway screamed for help, rescue tapes released Thursday show.
1	It was never our intention to sell the product, said Health Minister Anne McClellan, a skeptic of medical marijuana use.	It was never the intention of us to sell product, federal Health Minister Anne McLellan said yesterday in Edmonton.
