sentence_1	sentence_2	score
One witness told Anatolian he saw the plane on fire while it was still in the air.	Mrs Clinton writes her husband's eyes filled with tears when she told him he would have to confess to Chelsea as well.	0
They are located in Grande Cache, Alta., Carrot River, Sask., Chapleau, Ont., and Aberdeen, Wash.	The computers were located in the United States Canada and South Korea	1
The head of the panel, former Rep. Tillie Fowler of Florida, told present and past commanders that cadets don't trust them.	The head of the panel  Tillie Fowler a former US representative from Florida  told present and past commanders that cadets dont trust them	1
The United States and Britain are seeking backing at the United Nations for their agenda to hand over power to Iraqis.	We intend to provide them with choices to help them run Linux in a legal and fullypaid for way	0
The day after Wilkie resigned, Howard said in a televised address that Iraq possessed chemical and biological weapons capable of causing death and destruction on a mammoth scale.	In a televised address back in March Mr Howard declared Iraq had weapons capable of causing death and destruction on a mammoth scale	1
They have been identified by the Tarrant County Medical Examiner's Office as Melena's brother, Angel Melena, 25, and Narcisco Del Angel Lozano, 34.	The Tarrant County Medical Examiners Office has identified the deceased passengers at the scene as Angel Melena 25 and Narcisco DelAngel Lozano 34	0
Ms. Kennedy Cuomo's lawyer, William D. Zabel, said she would not comment.	Bo Hitchcock Levins attorney declined to comment Friday	0
Police say CIBA was involved in the importation of qat, a narcotic substance legal in Britain but banned in the United States.	The Fox Movie Channel has banned Charlie Chan	0
The state wants to lower wolf numbers in approximately a 1,700-square-mile area near the village of McGrath.	The state wants to kill the wolves in approximately a 1700squaremile area near the village of McGrath	1
Total sales for the period declined 8.0 percent to $1.99 billion from a year earlier.	Variable annuity sales were 42 billion 82 percent higher than a year ago	1
Mascia-Frye oversees European operations for the West Virginia Development Office.	HP's shipments increased 48 percent year-over-year, compared to an increase of 31 percent for Dell.	0
We do not use service members as guinea pigs, William Winkenwerder, assistant secretary of defense for health affairs, told a Pentagon briefing.	We stand behind this program said Dr William Winkenwerder assistant secretary of defense for health affairs	1
Typhoon Maemi later moved out over the Sea of Japan, where it weakened considerably, the meteorology department said.	But the institute says the department woefully underestimates the changes that would occur under the proposal	0
Mr. Rollins made $721,154 in salary and $243,389 in bonuses in the prior fiscal year.	Kevin Rollins Dells president received 770962 in salary and a bonus of just more than 2 million in fiscal 2003	1
The Nikkei average ended trading down 1.83 percent at 10,310.04, a four-week low.	The Nikkei average N225 was down 183 percent or 19225 points at 1031004 its lowest close since August 28	1
SCO intends to provide them with choices to help them run Linux in a legal and fully paid-for way, he said.	Bush said he plans to meet with scientists and legal experts and will not decide the bills fate for a few more weeks	0
Moore has said he plans to appeal the matter to the U.S. Supreme Court.	Top U.S. executives are feeling increasingly sunny about business conditions and corporate profits, according to a survey released Monday.	0
If what scientists are observing is truly seasonal change, the planet will continue to brighten for another 20 years.	That means that if the planet is in a season it will continue to brighten for the next 20 years	1
The technology-laced Nasdaq Composite Index .IXIC dropped 25.17 points, or 1.39 percent, to 1,792.07, based on the latest available figures.	The technologylaced Nasdaq Composite Index IXIC was down 2713 points or 164 percent at 162649 based on the latest data	0
Microsoft calls it: A brand new client platform for building smart, connected, media-rich applications in Longhorn.	A new VPN server built into Panther Server supports Mac OS X Windows or UNIX clients using PPTP and L2TP tunneling protocols	0
Overall control will be wielded by a national security council, headed by Mr Arafat.	Avants, wearing a light brown jumpsuit, had tubes in his nose and a portable oxygen tank beside him.	0
Obus also denied a defense motion to postpone the Sept. 29 trial date.	Without comment the court declined to hear suspended Alabama Chief Justice Roy Moores appeals	0
People who have this disorder absorb excessive amounts of iron which can lead to organ damage.	Mr Hughes who trains three hours a day to accelerate the healing process has lost 17 kilos since October	0
He also accused royal courtiers of poisoning the brothers’ “little minds”.	He said the royal family has poisoned the princes little minds	0
Class-action suits expand sharply the number of plaintiffs and damages in a suit by allowing initial plaintiffs to sue on behalf of a larger group with common interests.	Milberg Weiss Bershad Hynes  Lerach LLP said it filed suit in a New York court on Monday on behalf of the Southern Alaska Carpenters Pension Fund	1
He said Qualcomm has enjoyed many years of selling CDMA chips without much competition.	Qualcomm has enjoyed many years of selling CDMA chips against little or no competition said TI General Counsel Joseph Hubach	1
A total of 32 U.S. soldiers have been killed in attacks since May 1, when President Bush declared the end of major hostilities in Iraq.	Some three dozen American and British troops have been killed since Bush declared major combat over in Iraq on May 1	1
Without going into specifics, Oracle managers also indicated PeopleSoft's roughly 8,000 workers could expect mass layoffs.	Oracle managers also indicated PeopleSofts roughly 8000 workers could expect mass layoffs though they did not get into specifics	1
In a conference call with reporters, RNC Chairman Ed Gillespie said he sent the request to CBS Television President Leslie Moonves.	Goold said reporters calls to Peterson may have been monitored	0
After the French threatened to open fire, the battlewagon turned back.	French soldiers later threatened to open fire on a Hema battlewagon that tried to pass near the UN compound	0
Against the dollar, the euro rose as high as $1.1535 -- a fresh four-year high -- in morning trade before standing at $1.1518/23 at 0215 GMT.	The euro rose as high as 11535  a fresh fouryear high  in early Asian trading before standing at 1152530 	1
Intel spokesman Chuck Mulloy said the company was disappointed and assessing its options in the event Mr. Hamidi resumes his spamming activity against Intel.	Intel was disappointed and assessing its options in the event Mr Hamidi resumes his spamming activity against Intel spokesman Chuck Mulloy said	1
At least two female patients sharing a room and 10 nurses now have fevers or other symptoms, and about 100 of their contacts have been quarantined.	At least 2 female patients sharing a room and 10 nurses have fevers or other symptoms and about 100 people who have had contact with them have been quarantined	1
But an earnings per share of 22 cents was slightly better than analysts' estimates of 19 cents a share and more than double what Ford had predicted in April.	Its secondquarter earnings per share of 22 cents was slightly better than analysts estimates of 19 cents a share and more than double its prediction in April	1
Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.	Billups scored 77 points in the final two games of the firstround series against the Magic	0
Events on our system, in and of themselves, could not account for the widespread nature of the outage, FirstEnergy Chief Executive Peter Burg told the House panel.	Events on our system in and of themselves could not account for the widespread nature of the outage Burg said	1
The technology-focused Nasdaq Composite Index <.IXIC> advanced 6 points, or 0.30 percent, to 2,053, erasing earlier losses.	In a statement, the Redmond, Wash., company said that it was acquiring the intellectual property and technology assets of GeCAD.	0
Harry Potter and the Order of the Phoenix, by J.K. Rowling, Scholastic, 870 pages, $29.99.	Combined the companies will have about 28 billion in annual revenues 13000 employees and more than 11000 customers in 150 countries	0
Scientists have reported a 90 percent decline in large predatory fish in the world's oceans since a half century ago.	Scientists reported a 90 percent decline in large predatory fish in the worlds oceans since a halfcentury ago a dire assessment that drew immediate skepticism from commercial fishers	1
Prosecutors said interviews Peterson gave reporters may have been monitored in case the fertilizer salesman confessed.	Funny Cide is looking to become horse racing's first Triple Crown winner in a generation.	0
Analysts' average forecast was $4.02 per share on revenue of $25.56 billion.	Analysts have predicted thirdquarter earnings of 16 cents a share and revenue of 715 billion on average	1
He said the allegations were that certain cereals companies were tipped off to grain prices two hours before they were officially available.	The Belgian probe centred on allegations that certain cereals firms were tipped off about prices two hours before they were officially available	1
The United States and Russia have spent billions since the 1960s on a handful of space craft designed to land on Mars.	East Africa has been an area of terrorist threats and indeed terrorist attacks in the past, said State Department spokesman Philip Reeker.	0
Abbas told the summit he would end the armed intefadeh, renounced terrorism against the Israelis wherever they might be and alluded to the disarming of militants.	The patch also fixes a vulnerability that results because IE does not implement an appropriate block on a file download dialog box.	0
The justices declined without comment to review a lower-court ruling that said doctors should be able to speak frankly with their patients.	The justices declined without comment to review the ruling that upheld physicians rights to speak freely with their patients	1
But Cruz resembled a police sketch of the suspect and had injuries consistent with what police expected from the struggle he had with the girl's mother, Lansdowne said.	Gilroy police and FBI agents described Gehring as cooperative but said Saturday that he had revealed nothing about what had happened to the children	0
Senate passage of the Medicare bill is almost certain Monday.	It is rare for a legal challenge to occur before a bill becomes law	0
In Somalia, the report says, only 26 percent of adolescent girls have heard of AIDS and only 1 percent know how to protect themselves.	In Somalia only 26 of adolescent females aged 1019 have heard of Aids and just 1 know how to protect themselves	1
Desktop PC shipments also exceeded IDC's expectations in the second quarter, Kay said.	Although they no longer get the glory desktop PC exceeded IDCs shipment expectations in the second quarter Kay said	1
Marshall demonstrated his preference for results over rhetoric in preparing the Civil Rights Act that was passed in November 1964.	De Sole said in the results statement that group performance would improve in the second half of the year and beyond	0
Tracks can be burned to CDs, but the same playlist may only be burned up to five times.	The blaze was only 5 percent contained early Monday	0
Tuesday's decision could prove useful to the government in the war on terrorism.	The decision could also prove useful in the war on terrorism	1
New York City will get an estimated $182.5 million in tax revenue from the bonuses this year, compared with last year's $125.4 million.	The company reported quarterly revenue of 3881 million compared with 3185 million in the same period a year ago	0
Mattel shares were down 1.5 percent in early afternoon trading on the New York Stock Exchange.	Shares of Guidant were down 53 percent at 4092 in afternoon trading on the New York Stock Exchange	1
He added that the decision will throw a monkey wrench into the FCC's efforts to develop a vitally important national broadband policy.	This decision would throw a monkey wrench into the FCCs efforts to develop a vitally important national broadband policy he said	1
North Shore-Long Island Jewish Health System announced plans for a tissue bank earlier this month.	The North Shore Long Island Jewish Health System in New York announced plans for a tissue bank this month	1
At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.	Less than 20 percent of Boise's sales would come from making lumber and paper after the OfficeMax purchase is completed.	0
Last month, 62 Spanish peacekeepers died when their plane crashed in Turkey as they were returning home.	Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.	0
Bush said that he ordered the Treasury Department to freeze the assets after the suicide bombing in Jerusalem that killed 20 people Tuesday.	Mr Bush said he was taking the action in response to Hamass claim of responsibility for the bus bombing in Israel on Tuesday that killed 20 people	1
One of the features is the ability to delete data on a handheld device or lock down the device should a user lose it.	Thanks to Avalon Longhorn will support new styles of user interfaces and user interface elements	0
Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.	Shares of Xoma fell 16 percent in early trade while shares of Genentech a much larger company with several products on the market were up 2 percent	1
Congress twice before passed similar restrictions, but President Bill Clinton vetoed them.	Similar bills passed the House twice but died in the Senate	1
They said it affects all default installations of Windows 2000, Windows XP  and Windows 2003 Server.	The vulnerability affects Windows NT 40 NT 40 Terminal Services Edition XP and 2000 as well as Windows Server 2003	0
Researchers have identified roughly 130 genes on chromosome six that may predispose humans to certain diseases.	Page said its also possible that genes on the Y chromosome may influence genderspecific differences in disease susceptibility	1
The appeal came as NATO was preparing to the take command of the 5,000 strong International Security Assistance Force (ISAF) on Monday.	Thompson ordered Moore to remove the monument within 30 days but stayed that order pending Moores appeal to the 11th US Circuit Court of Appeals	0
The interview, which also focuses on Schwarzenegger's training routines and prowess as a bodybuilder, was reprinted this week on the website http://www.smokinggun.com.	On the sidelines of the Boao forum Mr Goh also met Pakistani President Pervez Musharraf and held talks with Tajikistan President Emomali Sharipovich Rakhmonov	0
In November, Jeffrey Brabakow, the chief executive at the time, said the company used aggressive pricing to get higher payments for the sickest Medicare patients.	Columbine gunman Dylan Klebold is shown firing a sawed-off shotgun in a video tape released by the Jefferson County Sheriff's Department.	0
Yeager said the suspect in the Target attack showed tendencies of being a prior offender.	Yeager said the incident appeared to be isolated but the suspect showed tendencies of being a prior offender	1
Italian Prime Minister Silvio Berlusconi, whose country holds the rotating EU presidency, said he was prepared to call another meeting of leaders next month.	Italian Prime Minister Silvio Berlusconi chairing the summit said he was prepared to call an extra informal meeting of leaders next month on the constitution if necessary	1
AMD had revenue of $715 million and a loss of 42 cents a share during the March quarter.	In the first quarter of 2003 AMD reported a net loss of 146 million or 42 cents per share on sales of 715 million	1
Palestinian Prime Minister Mahmoud Abbas must defend the record of his first 100 days in office before Parliament today as the death toll in the occupied territories continues to rise.	Stanford 4615 takes on South Carolina today at 11 am in the first game of the College World Series	0
Associated Press Writer Curt Anderson at the Justice Department in Washington, D.C., contributed to this story.	Associated Press Writer Jay Reeves in Birmingham Ala contributed to this story	1
Wall Street is debating whether the central bank will say risks are tilted toward weakness or balanced with inflation.	The results appear in the January issue of Cancer, the American Cancer Society journal, being published online today.	0
If the extra equity for the project cannot be found, AustMag directors will have to abandon the project in order to avoid trading while the company is insolvent.	As frequently happens to a company making a major acquisition PeopleSofts shares dropped in Mondays trading decreasing 87 cents to 1552 on the Nasdaq Stock Market	0
Woori Finance is the only large bank still to be sold but the state retains large stakes in several others, leading to suspicions of government meddling in lending decisions.	Woori Finance is the only large bank remaining to be sold but the government still has large stakes in several other lenders	1
Though that slower spending made 2003 look better, many of the expenditures actually will occur in 2004.	Though that slower spending made 2003 look better many of the expenditures will actually occur in 2004 making that years shortfall worse	1
The verbal flareup with Keating stemmed from Cardinal Mahony's initial refusal to participate in that survey unless procedures were changed.	They ransacked and burned the two villages completely, rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.	0
On Sunday, the experts will perform the first simultaneous release of five whales from a single stranding incident in the United States.	Today the experts will perform the United States first simultaneous release of five whales from a single stranding incident	1
The injured were taken to hospitals in Jefferson City and Columbia, about 48km north; their conditions were not immediately available.	The injured were taken to hospitals in Jefferson City and Columbia a college town about 30 miles to the north	1
In 2002, Linksys overtook Cisco Systems as the leading wireless equipment vendor, accounting for 14.1 percent of revenue.	Rolfe said Linksys overtook Cisco Systems last year as the leading supplier of WLAN equipment	0
They were released to authorities after officers delivered the soda to the gunman, using a long stick to pass the six-pack through a door.	After about three hours of negotiations the gunman released the hostages when authorities delivered on his request for a sixpack of soda	0
Manuals produced by only six states _ Arkansas, Michigan, Minnesota, New Jersey, Virginia and Wisconsin _ now have such sections.	Right now only six states do Arkansas Michigan Minnesota New Jersey Virginia and Wisconsin	1
Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million.	Island Def Jam must pay 52 million in punitive damages and Cohen must pay the remaining 56 million the jury said	0
We don't have new places to check, Waco public information officer Steve Anderson said.	We dont have new places to check said Steve Anderson a Waco publicinformation officer	1
Shiite Muslims account for about a third of Quetta's of 1.2 million people.	Analysts have estimated that Vivendi Uni could fetch 12 billion14 billion for VUE	0
That failure to act contributed to September the 11th and the failure to act today continues (to put) Americans in a vulnerable circumstance, Graham said.	He added that genes on the Y might play a role in influencing genderspecific differences in disease susceptibility	0
He blamed guerrillas from the Taliban regime ousted in late 2001 and said it was possible the bomber died in the blast.	But while the prime minister's trial judders to a halt, his co-defendants in the same case are not protected.	0
Meester, a 20-year-old sophomore, could face life in prison if convicted on charges of rape, forcible sodomy, indecent assault and providing alcohol to minors.	A spokesman said: Further testing is under way but at this stage, given the early detection, the outlook is positive.	0
In September 2002, floods in the Gard region killed 23 people.	In September 2002 the nearby Gard region was hit by similar floods	0
I'm taking his office, and we're gonna keep on building,'' he vowed. 	Yes Im taking his office and were going to keep on building and keep on fighting he added	1
Officials developed plans to burn about 2,000 acres of dense forest near the park's southwest border by dropping incendiary devices, hoping to burn off fuel from the wildfire's path.	Officials tentatively planned to burn about 2000 acres of dense forest by dropping incendiary devices from the air aiming to remove fuel from the wildfires path	1
It's going to happen, said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.	That really affects the companies big time said Jim Santangelo president of the Teamsters Joint Council 42 in El Monte	1
Such communication will help adult smokers make more informed choices, company vice president Richard Verheij told a separate hearing, before a House Energy and Commerce subcommittee.	The Senate Armed Services Committee will hold a separate hearing Thursday	0
Clark said the program would cost about $100 million a year and would be part of the Department of Homeland Security.	That wasnt all by 2010 Mr ONeill said he hoped Hyundai would sell 1 million vehicles annually in the United States	0
Wall Street is looking for a profit of 30 cents a share in the third quarter and $1.31 for the fiscal year.	Analysts were expecting a profit of 30 cents a share for the third quarter and 131 a share for the full year	1
Judiciary officials did not immediately respond to Reuters' requests for comment on the criticism of Mortazavi's appointment.	John Heine a spokesman for the commission in Washington declined to comment on Mr Spitzers criticism	1
He's wild, he wants to kill him, but then I suppose I'd be that angry too if somebody tried to kill my old man.	Cullen 43 is charged with killing a Roman Catholic Church official and attempting to kill another patient at Somerset Medical Center in Somerville	0
NASA's organizational culture and structure had as much to do with this accident as the (loose) foam.	The NASA organizational culture had as much to do with this accident as the foam the report said	1
The union earlier this week announced tentative agreements with Ford Motor Co., DaimlerChrysler AG's Chrysler Group and supplier Visteon Corp.	Over the weekend, NASA landed a six-wheeled robot on Mars to study the planet.	0
Mr Eddington described Monday's talks with union leaders as sensible.	Mr Eddington is to meet union leaders today and tomorrow	0
In turning down the NIMA offer, Gehman said, ''there were a number of bureaucratic and administrative missed signals here.	Attorneys for the Roman Catholic archdiocese and nearly 250 alleged victims began meeting last week to reach an out-of-court settlement.	0
His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.	Taylors aides warn an abrupt departure could trigger more chaos a view shared by many in Liberia and in private even by mediators	1
Scientists reported a 90 percent decline in large predatory fish in the world's oceans since a half-century ago, a dire assessment that drew immediate skepticism from commercial fishers.	In a statement Heyer said Dan brings to CocaCola enormous experience in managing some of the worlds largest and most familiar brands	0
Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets.	Analysts attributed the increase in part to negative news from bankrupt competitor WorldCom Inc. WCOEQ.PK and talk that AT&T could be a takeover target.	0
In the entire fiscal year, the company lost a record $1.27 billion, or $2.11 a share, on sales of nearly $3.1 billion.	Operating revenues rose to 145 billion from 138 billion last year	0
In addition, the committee noted, while spending is firming, the labour market has been weakening.	Fridays report raised new worries that a weak job market could shackle the budding economic recovery despite a slight improvement in the overall unemployment rate	0
The natural gas producer and marketer said the inaccurate reporting was discovered in response to a subpoena from the U.S. Commodity Futures Trading Commission, or CFTC.	The Denverbased natural gas producer and marketer said the inaccurate reporting was discovered after it received a subpoena from the US Commodity Futures Trading Commission	1
Kathy Nicolo (Jennifer Connelly) is desperate that her family not find out that her life has fallen apart.	A 32yearold mother of two is suspected of drowning her children in a bathtub before slashing her wrists in an unsuccessful suicide attempt police said	0
I think there's a building confidence that the cop is on the beat.	SEC Chairman William Donaldson said there is a building confidence out there that the cop is on the beat	1
This change in attitude gave upscale purveyors including Neiman Marcus, the parent of Bergdorf Goodman; and Nordstrom strong sales gains in May.	This change in attitude gave upscale purveyors including Neiman Marcus Group Inc and Nordstrom Inc along with some boutique retailers strong sales gains in May	1
U.S. Food and Drug Administration Commissioner Mark McClellan said Kraft's could start an important trend.	Food and Drug Administration news  web sites Commissioner Mark McClellan said Krafts initiative could start an important trend	1
Goodrem spent yesterday resting in her family home in Sydney and will have more tests today to determine her exact treatment.	Mills yesterday admitted We made some mistakes with this exam and its up to us to identify and correct them	0
Against the Japanese currency, the euro was at 136.06 yen compared with the late New York level of 136.03/14.	Falls in euroyen also pushed down the dollar against the yen with the pair at 11832 yen compared with Fridays late New York level of 11851	1
